"Treatment","BC.dist","Post.Diet","Post.Micr"
"RC-RC","0.777374469909757","RC","RC"
"RC-RC","0.91304437486594","RC","RC"
"RC-RC","0.560474693365577","RC","RC"
"RC-RC","0.592409606782432","RC","RC"
"RC-RC","0.751927104478914","RC","RC"
"RC-RC","0.599935517479376","RC","RC"
"RC-RC","NA","RC","RC"
"RC-DIET","0.911027710275657","WD","RC"
"RC-DIET","1","WD","RC"
"RC-DIET","0.999864664890469","WD","RC"
"RC-DIET","0.9036878840155","WD","RC"
"RC-DIET","0.896026121455672","WD","RC"
"RC-DIET","0.909343604582529","WD","RC"
"RC-DIET","0.89938830449245","WD","RC"
"RC-MICR","0.538034146216125","RC","WD"
"RC-MICR","0.885024750050591","RC","WD"
"RC-MICR","0.826322723418548","RC","WD"
"RC-MICR","0.804598736193391","RC","WD"
"RC-MICR","0.825992260487945","RC","WD"
"RC-MICR","0.822872949694564","RC","WD"
"RC-MICR","0.815461605611259","RC","WD"
"RC-WD","1","WD","WD"
"RC-WD","0.999196617155122","WD","WD"
"RC-WD","0.870792899981479","WD","WD"
"RC-WD","0.828078579097223","WD","WD"
"RC-WD","0.875843519387394","WD","WD"
"RC-WD","0.885848011248272","WD","WD"
"RC-WD","NA","WD","WD"
"RC-ABX-PBS","0.920947425515472","RC","PBS"
"RC-ABX-PBS","0.828674581153458","RC","PBS"
"RC-ABX-PBS","0.851772430548391","RC","PBS"
"RC-ABX-PBS","0.692065020341604","RC","PBS"
"RC-ABX-PBS","0.578838891253401","RC","PBS"
"RC-ABX-PBS","0.615171719659589","RC","PBS"
"RC-ABX-PBS","NA","RC","PBS"
"WD-RC","0.77992129516387","RC","RC"
"WD-RC","0.894991450613541","RC","RC"
"WD-RC","0.886721066050325","RC","RC"
"WD-RC","0.659150809772314","RC","RC"
"WD-RC","0.686502869670805","RC","RC"
"WD-RC","0.558791233390326","RC","RC"
"WD-RC","0.486000780001133","RC","RC"
"WD-DIET","0.711503861047365","RC","WD"
"WD-DIET","0.825647993348952","RC","WD"
"WD-DIET","0.773146056999101","RC","WD"
"WD-DIET","0.794714262557567","RC","WD"
"WD-DIET","0.893653712617436","RC","WD"
"WD-DIET","0.786561710998343","RC","WD"
"WD-DIET","0.842244775105159","RC","WD"
"WD-MICR","0.997572449533214","WD","RC"
"WD-MICR","1","WD","RC"
"WD-MICR","0.892323868400665","WD","RC"
"WD-MICR","0.958759840254032","WD","RC"
"WD-MICR","0.9771512972067","WD","RC"
"WD-MICR","0.95535213803706","WD","RC"
"WD-MICR","NA","WD","RC"
"WD-WD","0.870169508746717","WD","WD"
"WD-WD","1","WD","WD"
"WD-WD","0.82060130963418","WD","WD"
"WD-WD","0.862127885164352","WD","WD"
"WD-WD","0.833368206721168","WD","WD"
"WD-WD","NA","WD","WD"
"WD-WD","NA","WD","WD"
"WD-ABX-PBS","1","WD","PBS"
"WD-ABX-PBS","1","WD","PBS"
"WD-ABX-PBS","1","WD","PBS"
"WD-ABX-PBS","1","WD","PBS"
"WD-ABX-PBS","1","WD","PBS"
"WD-ABX-PBS","1","WD","PBS"
"WD-ABX-PBS","1","WD","PBS"
