"Treatment","Rec_day_adj","Mouse","meanPerKO"
"WD-ABX",-3,1512,26.9995976664655
"WD-ABX",-3,1946,25.4455843894589
"WD-ABX",-3,5264,28.0303761818548
"WD-ABX",-3,5265,29.2257091128546
"WD-ABX",-3,5568,20.3393683363508
"WD-ABX",-3,5569,26.6222088111044
"WD-ABX",-3,5732,27.982297324482
"WD-ABX",-3,5733,27.1983504325086
"WD-ABX",2,1512,0.52041842687588
"WD-ABX",2,1946,0.855361094347214
"WD-ABX",2,5733,0.421846710923355
"WD-ABX",14,1512,1.43230738282036
"WD-ABX",14,1946,1.49165157915912
"WD-ABX",14,5569,2.61717964192315
"WD-ABX",14,5733,2.25528062764031
"WD-ABX",28,1512,4.65801649567491
"WD-ABX",28,1946,1.24441762220881
"WD-ABX",28,5733,7.06497686582177
"RC-ABX",-3,1507,32.4049487024743
"RC-ABX",-3,1953,26.7579963789982
"RC-ABX",-3,5266,36.8730637698652
"RC-ABX",-3,5267,35.9833031583182
"RC-ABX",-3,5570,35.0575336954335
"RC-ABX",-3,5571,37.7312411989539
"RC-ABX",-3,5734,44.4417622208811
"RC-ABX",-3,5735,39.059545363106
"RC-ABX",2,1953,1.71052102192718
"RC-ABX",2,5735,0.822570911285456
"RC-ABX",4,1507,0.501508750754375
"RC-ABX",4,1953,1.54013277006638
"RC-ABX",4,5735,1.06698853349427
"RC-ABX",14,1507,14.0154898410783
"RC-ABX",14,1953,21.6775296720982
"RC-ABX",14,5735,22.9979883323275
"RC-ABX",28,1507,18.3631060148863
"RC-ABX",28,1953,22.833433916717
"RC-ABX",28,5735,22.9921544960772
